run_time,mode,deals,model,arch,role,games,avg_pts,win_pct,clean_pct,disaster_pct,qs_eaten_pct,moons_shot,moons_conceded,entropy,solo_diff_mean,solo_diff_p,qs_pass_rate,qs_pass_n,qs_dump_rate,qs_dump_n,duck_rate,duck_n,duck4_rate,duck4_n,slough_rate,slough_n,bleed_rate,bleed_n,lead_safe_rate,lead_safe_n,moon_def_rate,moon_def_n,ak_punished_rate,ak_punished_n,control_rate,control_n,forced_win_rate,forced_win_n
2026-07-09T20:13:10,argmax,2000,hearts_model_milestone_1783647203.pth,v2,newer,16000,5.9873,34.75,24.46,21.97,21.12,48,159,0.5688,-2.1285,0.0,78.0,3000,96.65,2987,74.42,56708,72.96,21973,67.27,27203,58.88,11222,67.67,18098,51.64,1125,19.47,2892,24.09,208000,59.12,27168
2026-07-09T20:13:10,argmax,2000,hearts_model_milestone_1783634180.pth,v2,older,16000,7.2792,27.9,18.88,29.34,28.88,34,87,0.7183,3.4595,1.0,100.0,3000,86.57,2093,75.67,58254,74.72,23641,52.9,17750,50.52,14620,70.44,20640,76.09,895,36.98,3751,25.91,208000,67.9,27657
2026-07-09T22:55:28,argmax,2000,hearts_model_milestone_1783654819.pth,v2,newer,16000,6.7551,32.36,23.61,26.24,24.82,99,280,0.5593,0.0025,0.506643,84.6,3000,97.58,2558,76.12,54144,75.78,20367,63.42,27407,59.36,12168,69.14,19489,54.46,1177,16.9,3100,24.96,208000,60.0,26438
2026-07-09T22:55:28,argmax,2000,hearts_model_milestone_1783647203.pth,v2,older,16000,6.8071,32.31,22.56,26.36,25.18,74,239,0.5714,0.3735,0.99353,78.0,3000,96.75,2680,75.22,53881,73.47,20962,66.97,27579,59.24,11667,67.62,19620,57.94,1027,18.99,2791,25.04,208000,58.17,27549
2026-07-10T23:02:01,argmax,2000,hearts_model_milestone_1783747658.pth,v4,newer,16000,7.0889,29.11,20.77,28.0,27.47,52,121,0.6196,2.0305,1.0,100.0,3000,17.58,9320,63.88,65995,61.28,26153,14.2,27880,33.13,13711,62.95,19929,53.54,551,19.35,4833,25.97,208000,67.69,31763
2026-07-10T23:02:01,argmax,2000,hearts_model_milestone_1783634180.pth,v3,older,16000,6.1354,33.42,23.97,23.06,22.53,17,86,0.7056,-1.388,0.0,100.0,3000,85.36,2685,75.39,62275,74.39,25049,54.92,19598,52.85,14130,71.56,17638,76.34,803,27.91,3895,24.03,208000,69.02,26595
2026-07-11T00:00:45,argmax,2000,hearts_model_milestone_1783751767.pth,v4,newer,16000,6.9952,28.69,20.54,26.97,26.27,54,141,0.6442,1.227,1.0,100.0,3000,24.83,8518,68.53,64909,65.94,25693,17.73,28685,40.47,13614,61.69,20375,56.31,586,25.1,4227,25.79,208000,69.17,29597
2026-07-11T00:00:45,argmax,2000,hearts_model_milestone_1783634180.pth,v3,older,16000,6.2713,33.49,23.54,24.32,23.73,28,105,0.7032,-1.5985,0.0,100.0,3000,84.91,2644,75.78,62167,74.78,25035,55.47,19915,53.18,14150,72.25,17709,75.69,765,30.97,3885,24.21,208000,69.31,26488
2026-07-11T01:17:10,argmax,2000,hearts_model_milestone_1783755939.pth,v4,newer,16000,6.8521,29.36,20.91,26.41,25.82,41,104,0.6409,1.139,1.0,100.0,3000,32.84,7213,71.97,66095,69.85,26028,27.72,24077,31.24,15463,65.0,20388,52.17,667,26.41,3605,25.7,208000,67.83,27311
2026-07-11T01:17:10,argmax,2000,hearts_model_milestone_1783634180.pth,v3,older,16000,6.3526,32.71,23.14,24.68,24.18,22,85,0.7033,-0.755,1.7e-05,100.0,3000,83.71,2671,75.32,62331,74.65,24988,55.21,19106,52.78,14297,71.92,17771,78.22,785,32.87,3775,24.3,208000,69.25,26538
