match,seat,deals_a,final_a,place_a,win_a,deals_b,final_b,place_b,win_b
0,0,10,42,1,1,10,89,3,0
1,1,13,85,2,0,13,84,1,1
2,2,13,75,2,0,12,26,1,1
3,3,15,92,1.5,0,14,62,1,1
4,0,9,116,4,0,9,100,4,0
5,1,7,102,4,0,12,68,2,0
6,2,10,108,4,0,9,105,4,0
7,3,12,87,2,0,15,96,2,0
8,0,14,88,2,0,14,88,3,0
9,1,11,62,1,1,14,112,4,0
10,2,9,106,4,0,8,115,4,0
11,3,11,26,1,1,10,53,2,0
12,0,9,91,2,0,11,116,4,0
13,1,13,51,1,1,9,23,1,1
14,2,13,89,3,0,10,66,2,0
15,3,11,43,1,1,12,80,3,0
16,0,10,89,3,0,9,39,2,0
17,1,9,46,1,1,10,53,2,0
18,2,13,92,3,0,12,75,2,0
19,3,10,40,1,1,9,101,4,0
20,0,7,6,1,1,10,33,1,1
21,1,13,45,1,1,10,57,3,0
22,2,12,86,3,0,13,89,1.5,0
23,3,9,51,3,0,9,42,2,0
24,0,12,93,3,0,12,46,1,1
25,1,13,90,3,0,10,28,1,1
26,2,11,52,1,1,11,43,1,1
27,3,9,111,4,0,11,57,2,0
28,0,10,47,1,1,12,82,3,0
29,1,9,114,4,0,13,77,1.5,0
30,2,9,36,1,1,13,77,2,0
31,3,9,36,2,0,9,27,1,1
32,0,11,70,3,0,14,62,1,1
33,1,6,54,2,0,6,12,1,1
34,2,15,101,2.5,0,13,61,1,1
35,3,9,115,4,0,11,57,2,0
36,0,12,79,3,0,13,66,2,0
37,1,11,54,1,1,10,90,3,0
38,2,15,87,1,1,13,120,4,0
39,3,11,65,2,0,10,56,1,1
40,0,12,63,2,0,12,66,2,0
41,1,12,100,4,0,13,70,1,1
42,2,13,85,1,1,10,32,1,1
43,3,10,24,1,1,10,34,1,1
44,0,12,26,1,1,10,21,1,1
45,1,12,39,1,1,8,108,4,0
46,2,14,97,3,0,12,62,2,0
47,3,10,60,3,0,11,54,2,0
48,0,11,53,1,1,10,26,1,1
49,1,9,35,1,1,12,83,3,0
50,2,13,64,1,1,10,104,4,0
51,3,13,102,4,0,13,100,4,0
52,0,10,100,4,0,11,91,3,0
53,1,8,41,1,1,9,67,3,0
54,2,10,91,3,0,8,100,4,0
55,3,11,55,2,0,11,83,2,0
56,0,9,100,4,0,10,92,3,0
57,1,9,26,1,1,10,40,2,0
58,2,7,11,1,1,7,7,1,1
59,3,14,111,4,0,13,72,1,1
60,0,14,82,1,1,11,36,1,1
61,1,10,66,3,0,13,56,1,1
62,2,7,11,1,1,9,45,1,1
63,3,11,69,2,0,10,55,2,0
64,0,11,62,1,1,12,86,3,0
65,1,12,75,1,1,11,100,4,0
66,2,9,26,1,1,15,90,2,0
67,3,12,81,3,0,10,55,2,0
68,0,8,24,1,1,8,11,1,1
69,1,10,35,1,1,10,36,1,1
70,2,11,18,1,1,9,16,1,1
71,3,11,114,4,0,11,88,2,0
72,0,13,82,3,0,12,90,3,0
73,1,11,59,1,1,12,59,1,1
74,2,13,76,2,0,13,110,4,0
75,3,13,73,2,0,11,63,3,0
